DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2018","Public Transport","Diesel","Ayats","7800","MBUS226","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS098","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS109","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS254","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS685","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS135","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS040","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12864","BUS377","Bus"
"2011","Public Transport","Diesel","Avanza","12412","BUS498","Bus"
"2011","Public Transport","Diesel","Damas","12524","BUS468","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS025","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS091","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS252","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS109","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS149","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS260","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS703","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS137","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS055","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12853","BUS380","Bus"
"2011","Public Transport","Diesel","Avanza","12405","BUS500","Bus"
"2011","Public Transport","Diesel","Damas","12521","BUS469","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS032","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS121","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS256","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS127","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS189","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS284","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS715","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS165","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS078","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12845","BUS382","Bus"
"2011","Public Transport","Diesel","Avanza","12394","BUS503","Bus"
"2011","Public Transport","Diesel","Damas","12513","BUS471","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS050","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS151","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS282","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS128","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS229","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS290","Mini Bus"
"2005","Public Transport","Diesel","Ayats","7800","MBUS733","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS167","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS080","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12842","BUS383","Bus"
"2011","Public Transport","Diesel","Avanza","12382","BUS506","Bus"
"2011","Public Transport","Diesel","Damas","12506","BUS473","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS056","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS181","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS286","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS139","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS269","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS314","Mini Bus"
"2005","Public Transport","Diesel","Damas","14700","BUS001","Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS195","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS095","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12830","BUS386","Bus"
"2011","Public Transport","Diesel","Avanza","12341","BUS517","Bus"
"2011","Public Transport","Diesel","Damas","12502","BUS474","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS065","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS211","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS312","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS157","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS309","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS320","Mini Bus"
"2005","Public Transport","Diesel","Damas","14700","BUS040","Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS197","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS118","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12827","BUS387","Bus"
"2011","Public Transport","Diesel","Avanza","12330","BUS520","Bus"
"2011","Public Transport","Diesel","Damas","12494","BUS476","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS072","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS241","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS316","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS158","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS349","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7200","MBUS344","Mini Bus"
"2005","Public Transport","Diesel","Damas","14420","BUS045","Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS225","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS120","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12819","BUS389","Bus"
"2011","Public Transport","Diesel","Avanza","12319","BUS523","Bus"
"2011","Public Transport","Diesel","Damas","12483","BUS479","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS090","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS271","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS342","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS169","Mini Bus"
"2001","Public Transport","Electricity","Irizar","14850","EBUS389","Electric Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS350","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS025","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS227","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS135","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12815","BUS390","Bus"
"2011","Public Transport","Diesel","Avanza","12312","BUS525","Bus"
"2011","Public Transport","Diesel","Damas","12465","BUS484","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS096","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS301","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS346","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS187","Mini Bus"
"2002","EMS","Diesel","Lafuncar","10200","AMB038","Ambulance"
"2003","Public Transport","Diesel","Indcar","7575","MBUS380","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS055","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS255","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS158","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12804","BUS393","Bus"
"2011","Public Transport","Diesel","Avanza","12308","BUS526","Bus"
"2011","Public Transport","Diesel","Damas","12461","BUS485","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS105","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS331","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS372","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS188","Mini Bus"
"2002","EMS","Petrol","SEAT","7840","SUV020","SUV"
"2003","Public Transport","Diesel","Indcar","7650","MBUS394","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS085","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS257","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS160","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12793","BUS396","Bus"
"2011","Public Transport","Diesel","Avanza","12285","BUS532","Bus"
"2011","Public Transport","Diesel","Damas","12450","BUS488","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS112","Electric Bus"
"2015","Public Transport","Diesel","Ayats","7650","MBUS361","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS376","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS199","Mini Bus"
"2002","Police","Petrol","Citroen","5200","POL039","Police Car"
"2003","Public Transport","Diesel","Indcar","7575","MBUS410","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS115","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS285","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS175","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12771","BUS402","Bus"
"2011","Public Transport","Diesel","Avanza","12274","BUS535","Bus"
"2011","Public Transport","Diesel","Damas","12438","BUS491","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS130","Electric Bus"
"2015","Public Transport","Diesel","Damas","13580","BUS042","Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS402","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS217","Mini Bus"
"2002","Police","Petrol","Ford","5000","POL015","Police Car"
"2003","Public Transport","Diesel","Indcar","7650","MBUS424","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS145","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS287","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS198","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12767","BUS403","Bus"
"2011","Public Transport","Diesel","Avanza","12270","BUS536","Bus"
"2011","Public Transport","Diesel","Damas","12427","BUS494","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS136","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS027","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS406","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS218","Mini Bus"
"2002","Police","Petrol","Ford","4950","POL033","Police Car"
"2003","Public Transport","Diesel","Indcar","7575","MBUS440","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS175","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS315","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS200","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12763","BUS404","Bus"
"2011","Public Transport","Diesel","Avanza","12226","BUS548","Bus"
"2011","Public Transport","Diesel","Damas","12416","BUS497","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS145","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS057","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS432","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS229","Mini Bus"
"2002","Public Transport","Diesel","Alsa","14700","BUS065","Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS454","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS205","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS317","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS215","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12759","BUS405","Bus"
"2011","Public Transport","Diesel","Avanza","12207","BUS553","Bus"
"2011","Public Transport","Diesel","Damas","12409","BUS499","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS152","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS087","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS436","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS247","Mini Bus"
"2002","Public Transport","Diesel","Alsa","13440","BUS066","Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS470","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS235","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS345","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS238","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12748","BUS408","Bus"
"2011","Public Transport","Diesel","Avanza","12181","BUS560","Bus"
"2011","Public Transport","Diesel","Damas","12401","BUS501","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS170","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS117","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS462","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS248","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS005","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS484","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS265","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS347","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS240","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12745","BUS409","Bus"
"2011","Public Transport","Diesel","Avanza","12177","BUS561","Bus"
"2011","Public Transport","Diesel","Damas","12390","BUS504","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS176","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS147","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS466","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS259","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS035","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS500","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS295","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS375","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS255","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12733","BUS412","Bus"
"2011","Public Transport","Diesel","Damas","13440","BUS044","Bus"
"2011","Public Transport","Diesel","Damas","12371","BUS509","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS185","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS177","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS492","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS277","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS065","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS514","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS325","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS377","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS278","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12730","BUS413","Bus"
"2011","Public Transport","Diesel","Damas","14000","BUS059","Bus"
"2011","Public Transport","Diesel","Damas","12368","BUS510","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS192","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS207","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS496","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS278","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS095","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS530","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7800","MBUS355","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS405","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS280","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12726","BUS414","Bus"
"2011","Public Transport","Diesel","Damas","13894","BUS101","Bus"
"2011","Public Transport","Diesel","Damas","12356","BUS513","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS210","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS237","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS522","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS289","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS125","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS544","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS389","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS407","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS295","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12700","BUS421","Bus"
"2011","Public Transport","Diesel","Damas","13883","BUS104","Bus"
"2011","Public Transport","Diesel","Damas","12345","BUS516","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS216","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS267","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS526","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS307","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS155","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS560","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS393","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS435","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS318","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12696","BUS422","Bus"
"2011","Public Transport","Diesel","Damas","13864","BUS109","Bus"
"2011","Public Transport","Diesel","Damas","12334","BUS519","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS225","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS297","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7650","MBUS552","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS308","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS185","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS574","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS419","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS437","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS320","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12689","BUS424","Bus"
"2011","Public Transport","Diesel","Damas","13861","BUS110","Bus"
"2011","Public Transport","Diesel","Damas","12323","BUS522","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS232","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS327","Mini Bus"
"2018","Public Transport","Diesel","Ayats","7800","MBUS556","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS319","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS215","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS590","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS423","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS465","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS335","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12662","BUS431","Bus"
"2011","Public Transport","Diesel","Damas","13849","BUS113","Bus"
"2011","Public Transport","Diesel","Damas","12315","BUS524","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS250","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS357","Mini Bus"
"2016","Public Transport","Diesel","Alsa","13720","BUS034","Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS337","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS245","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS604","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS449","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS467","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS358","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12659","BUS432","Bus"
"2011","Public Transport","Diesel","Damas","13838","BUS116","Bus"
"2011","Public Transport","Diesel","Damas","12289","BUS531","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS256","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS387","Mini Bus"
"2016","Public Transport","Diesel","Alsa","13440","BUS049","Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS338","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS275","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS620","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS453","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS495","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS360","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12640","BUS437","Bus"
"2011","Public Transport","Diesel","Damas","13827","BUS119","Bus"
"2011","Public Transport","Diesel","Damas","12256","BUS540","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS265","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS391","Mini Bus"
"2016","Public Transport","Diesel","Damas","14420","BUS009","Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS349","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS305","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS634","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS479","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS497","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS375","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12629","BUS440","Bus"
"2011","Public Transport","Diesel","Damas","13816","BUS122","Bus"
"2011","Public Transport","Diesel","Damas","12252","BUS541","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS272","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS417","Mini Bus"
"2016","Public Transport","Diesel","Damas","14700","BUS055","Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS367","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS335","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS650","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS483","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS525","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15450","EBUS398","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12625","BUS441","Bus"
"2011","Public Transport","Diesel","Damas","13808","BUS124","Bus"
"2011","Public Transport","Diesel","Damas","12248","BUS542","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS290","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS421","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS020","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS368","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS365","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS664","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS509","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS527","Mini Bus"
"2010","Public Transport","Electricity","Irizar","14850","EBUS400","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12621","BUS442","Bus"
"2011","Public Transport","Diesel","Damas","13801","BUS126","Bus"
"2011","Public Transport","Diesel","Damas","12244","BUS543","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS296","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS447","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS060","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS379","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS384","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS680","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS513","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS555","Mini Bus"
"2010","Public Transport","Electricity","Irizar","15000","EBUS415","Electric Bus"
"2011","Public Transport","Diesel","Alsa","12614","BUS444","Bus"
"2011","Public Transport","Diesel","Damas","13790","BUS129","Bus"
"2011","Public Transport","Diesel","Damas","12241","BUS544","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS305","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS451","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS100","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS397","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS395","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS694","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS539","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS557","Mini Bus"
"2011","EMS","Diesel","Daimler","9500","AMB050","Ambulance"
"2011","Public Transport","Diesel","Alsa","12599","BUS448","Bus"
"2011","Public Transport","Diesel","Damas","13771","BUS134","Bus"
"2011","Public Transport","Diesel","Damas","12237","BUS545","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS312","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS477","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS140","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS398","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS414","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS710","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS543","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS585","Mini Bus"
"2011","EMS","Diesel","Lafuncar","9500","AMB002","Ambulance"
"2011","Public Transport","Diesel","Alsa","12595","BUS449","Bus"
"2011","Public Transport","Diesel","Damas","13767","BUS135","Bus"
"2011","Public Transport","Diesel","Damas","12218","BUS550","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS330","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS481","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS180","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS409","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS425","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7650","MBUS724","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS569","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS587","Mini Bus"
"2011","EMS","Diesel","Lafuncar","9700","AMB047","Ambulance"
"2011","Public Transport","Diesel","Alsa","12588","BUS451","Bus"
"2011","Public Transport","Diesel","Damas","13756","BUS138","Bus"
"2011","Public Transport","Diesel","Damas","12214","BUS551","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS336","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS507","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS220","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS427","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS444","Mini Bus"
"2003","Public Transport","Diesel","Indcar","7575","MBUS740","Mini Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS573","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS615","Mini Bus"
"2011","EMS","Diesel","Mercedez-Benz","10500","AMB029","Ambulance"
